,sample_id,farm,visit_number,date_collected,ctx_m,animals_sampled,weaned_heifer,adult,dry,footpath,amp_c,ct_pos,cipR,tetR,cephR,strepR,amoxR,plain_undiluted,anything_waste,heifers_waste,whichclinresp,firstmastitis,poultry,equine,total_cattle,yield,herd_size,bought_pre,scc,pneum_vacc,diarrvacc,anticocc,halocur,nsaiddiarr,trough_clean,time_dam,um_spray,give_col,wean,pattern,percentdryoff,calving_group,calhousing_type,calhousing_older,hectares,othergraze,bvdvacc,ibrvacc,leptovacc,salmvacc,lungvacc,clostvacc,organic,daystreatmast,timesfirstmast,injectmast,nsaidmast,treatfoot,abcalve,nsaidcalve,calveclean,milkgraze,lime,predip,acf,cleancluster,drytrough,premises,shows,market,hostfarmwalk,starling,deer,badger,rook,pigeon,fox,pheasant,rat,shoot,hunt,outsource,feedlorry,muckspreader,aiexternal,machinery,bedmilk_1,bedmilk_2,bedmilk_3,bedmilk_4,bedmilk_6,bedmilk_8,foragetype_1,foragetype_2,foragetype_3,foragetype_4,foragetype_5,foragetype_6,foragetype_7,foragetype_8,foragebought,manure_1,manure_2,manure_3,manure_4,manure_5,manure_6,manure_7,manure_8,manure_9,s_housed_outdoor,cefq_dct,ceph_dct,fram_dct,clox_dct,s_calving_now,water,total_mg_pcu,ceph_3_4,ceph_1,co_amox,tet,amox,fq,novobiocin,pen,cefalexin,strep,preweaned_heifer
1,ATL1,ATL,1,27/02/2017,0,h,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
2,ATL2,ATL,1,27/02/2017,0,h,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
3,ATL3,ATL,1,27/02/2017,0,pw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
4,ATL4,ATL,1,27/02/2017,0,pw,0,0,0,0,0,0,0,1,0,0,1,350,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
5,ATL5,ATL,1,27/02/2017,0,pw,0,0,0,0,0,0,0,1,0,0,1,3760,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
6,ATL6,ATL,1,27/02/2017,0,a,0,1,0,0,0,0,0,1,0,0,1,120,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
7,ATL7,ATL,1,27/02/2017,0,a,0,1,0,0,0,0,0,1,1,0,1,70,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
8,ATL8,ATL,1,27/02/2017,0,pw,0,0,0,0,0,0,0,1,0,0,1,10,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
9,ATL9,ATL,1,27/02/2017,0,pw,0,0,0,0,0,0,0,0,0,0,0,120,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
10,ATL10,ATL,2,23/03/2017,0,h,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
