Variable,Level,Description,Type,Coding
sample_id,sample,Unique reference for each sample,Categorical,3 letter farm code and sample number
farm,farm,Unique code for each farm,Categorical,3 letter code
visit_number,sample,The visit number on which the sample was collected for each farm. Visit 1 is the date of consent and first questionnaire.,Ordinial,"1= first visit, 2= second visit etc etc"
date_collected,sample,Date of sample collection,Date,
ctx_m,sample,Was CTX-M detected in any isolates selected from the sample by PCR?,Binary,"1= yes, 0= no"
animals_sampled,sample,"Category of animals present in the location, also presented as dichotomous variables below",Categorical," ""a""= milking cattle, ""d""= dry cattle, ""pw""=pre-weaned calves, ""h""=weaned heifer calves"
weaned_heifer,sample,Were weaned heifers present in the environment sampled?,Binary,"1= yes, 0= no"
adult,sample,Were adult milking cows present in the environment sampled?,Binary,"1= yes, 0= no"
dry,sample,Were adult dry cows present in the environment sampled?,Binary,"1= yes, 0= no"
footpath,sample,Was the sample taken from a public footpath?,Binary,"1= yes, 0= no"
amp_c,sample,Was Amp-C detected in any E. coli isolates selected from the sample by PCR?,Binary,"1= yes, 0= no"
ct_pos,sample,Was cefotaxime resistance detected in any E. coli isolates selected from the sample (ie growth on agar containing cefotaxime at above the breakpoint)?,Binary,"1= yes, 0= no"
cipR,sample,Were ciprofloxacin resistant E. coli detected in the sample?,Binary,"1= yes, 0= no"
tetR,sample,Were tetracycline resistant E. coli detected in the sample?,Binary,"1= yes, 0= no"
cephR,sample,Were cephalexin resistant E. coli detected in the sample?,Binary,"1= yes, 0= no"
strepR,sample,Were streptomycin resistant E. coli detected in the sample?,Binary,"1= yes, 0= no"
amoxR,sample,Were amoxycillin resistant E. coli detected in the sample?,Binary,"1= yes, 0= no"
plain_undiluted,sample,Total E. coli count in the plated sample on selective agar without antibiotic,Continuous,"If too many to count, 1000 colonies was entered."
anything_waste,Farm,Are any cattle on the farm fed waste milk?,Binary,"1= yes, 0= no"
heifers_waste,Farm,Are any heifers on the farm fed waste milk?,Binary,"1=yes, 0=no"
whichclinresp,Farm,Which is first choice/most commonly used class of antibiotic for clinical mastitis?,Categorical,Descriptive
firstmastitis,Farm,Which antibiotic was most commonly used for mastitis at the start of the project,Categorical,Descriptive
poultry,Farm,Have there been poultry on the farm during the project?,Binary,"1=yes, 0=no"
equine,Farm,Have there been equids on the farm during this project?,Binary,"1=yes, 0=no"
total_cattle,Farm,"Total number of cattle kept on farm (averaged over study, including males/beef calves)",Ordinal,"1=<250, 2=250-500, 3=>500"
